pair_a,pair_b,seed,orientation,seat0,seat1,status0,status1,reward0,reward1,winner,margin0,runtime_seconds,error
v4,v6,5106,B0_A1,v6,v4,DONE,DONE,46858.0,29497.0,v6,17361.0,6.9735,
v4,v6,5107,A0_B1,v4,v6,DONE,DONE,31694.0,51934.0,v6,-20240.0,6.859,
v4,v6,5107,B0_A1,v6,v4,DONE,DONE,51934.0,31694.0,v6,20240.0,6.9703,
v4,v6,5108,A0_B1,v4,v6,DONE,DONE,31642.0,50046.0,v6,-18404.0,7.1719,
v4,v6,5108,B0_A1,v6,v4,DONE,DONE,50046.0,31642.0,v6,18404.0,7.2207,
v4,v6,5109,A0_B1,v4,v6,DONE,DONE,29477.0,51510.0,v6,-22033.0,7.0018,
v4,v6,5109,B0_A1,v6,v4,DONE,DONE,51510.0,29477.0,v6,22033.0,7.0004,
v4,v6,5110,A0_B1,v4,v6,DONE,DONE,30257.0,53783.0,v6,-23526.0,7.1504,
v4,v6,5110,B0_A1,v6,v4,DONE,DONE,53545.0,30229.0,v6,23316.0,7.2327,
v4,v6,5111,A0_B1,v4,v6,DONE,DONE,37765.0,50133.0,v6,-12368.0,7.144,
v4,v6,5111,B0_A1,v6,v4,DONE,DONE,50133.0,37765.0,v6,12368.0,7.182,
v4,v6,5112,A0_B1,v4,v6,DONE,DONE,27045.0,45888.0,v6,-18843.0,6.8706,
v4,v6,5112,B0_A1,v6,v4,DONE,DONE,46382.0,26799.0,v6,19583.0,7.0082,
v4,v6,5113,A0_B1,v4,v6,DONE,DONE,32445.0,49159.0,v6,-16714.0,7.1081,
v4,v6,5113,B0_A1,v6,v4,DONE,DONE,48830.0,32435.0,v6,16395.0,7.1944,
v4,v6,5114,A0_B1,v4,v6,DONE,DONE,31436.0,54047.0,v6,-22611.0,7.0989,
v4,v6,5114,B0_A1,v6,v4,DONE,DONE,54089.0,31436.0,v6,22653.0,7.0771,
v4,v6,5115,A0_B1,v4,v6,DONE,DONE,31258.0,51988.0,v6,-20730.0,7.5793,
v4,v6,5115,B0_A1,v6,v4,DONE,DONE,51988.0,31258.0,v6,20730.0,7.6978,
v4,v6,5116,A0_B1,v4,v6,DONE,DONE,29114.0,49919.0,v6,-20805.0,7.0082,
v4,v6,5116,B0_A1,v6,v4,DONE,DONE,49919.0,29114.0,v6,20805.0,7.046,
v4,v6,5117,A0_B1,v4,v6,DONE,DONE,28774.0,48739.0,v6,-19965.0,6.8694,
v4,v6,5117,B0_A1,v6,v4,DONE,DONE,48739.0,28774.0,v6,19965.0,7.057,
v4,v6,5118,A0_B1,v4,v6,DONE,DONE,32077.0,51223.0,v6,-19146.0,7.5732,
v4,v6,5118,B0_A1,v6,v4,DONE,DONE,51393.0,32079.0,v6,19314.0,7.3762,
v4,v6,5119,A0_B1,v4,v6,DONE,DONE,33107.0,48452.0,v6,-15345.0,7.0078,
v4,v6,5119,B0_A1,v6,v4,DONE,DONE,48452.0,33107.0,v6,15345.0,6.9639,
v4,v6,5120,A0_B1,v4,v6,DONE,DONE,32799.0,51534.0,v6,-18735.0,6.8289,
v4,v6,5120,B0_A1,v6,v4,DONE,DONE,51103.0,32745.0,v6,18358.0,6.8754,
v5,v6,5101,A0_B1,v5,v6,DONE,DONE,46466.0,53839.0,v6,-7373.0,6.8371,
v5,v6,5101,B0_A1,v6,v5,DONE,DONE,53550.0,46117.0,v6,7433.0,6.7817,
v5,v6,5102,A0_B1,v5,v6,DONE,DONE,46425.0,52376.0,v6,-5951.0,6.7754,
v5,v6,5102,B0_A1,v6,v5,DONE,DONE,52573.0,46415.0,v6,6158.0,6.8699,
v5,v6,5103,A0_B1,v5,v6,DONE,DONE,44586.0,52284.0,v6,-7698.0,6.8763,
v5,v6,5103,B0_A1,v6,v5,DONE,DONE,49764.0,42396.0,v6,7368.0,6.965,
v5,v6,5104,A0_B1,v5,v6,DONE,DONE,48426.0,56093.0,v6,-7667.0,7.006,
v5,v6,5104,B0_A1,v6,v5,DONE,DONE,56093.0,48426.0,v6,7667.0,6.9687,
