variant,family,layer,expert,count,weight_sum
base,bit_manipulation,1,78,30,12.181742280721664
base,bit_manipulation,1,104,10,4.284962505102158
base,bit_manipulation,1,22,4,1.3103657364845276
base,bit_manipulation,1,127,4,1.409878671169281
base,bit_manipulation,1,92,4,1.4131160080432892
base,bit_manipulation,1,91,17,6.479308307170868
base,bit_manipulation,1,72,4,1.2981646955013275
base,bit_manipulation,3,5,60,21.830181524157524
base,bit_manipulation,3,46,102,39.1612842977047
base,bit_manipulation,3,58,82,30.689789056777954
base,bit_manipulation,3,119,63,28.427936881780624
base,bit_manipulation,3,125,25,9.917880773544312
base,bit_manipulation,3,69,193,76.80309616029263
base,bit_manipulation,3,7,77,34.2220718562603
base,bit_manipulation,3,28,79,27.82126423716545
base,bit_manipulation,3,55,77,32.70452040433884
base,bit_manipulation,3,70,133,49.15523135662079
base,bit_manipulation,3,79,37,13.314068675041199
base,bit_manipulation,3,9,21,8.031578466296196
base,bit_manipulation,3,1,37,14.760120153427124
base,bit_manipulation,3,99,20,8.322218090295792
base,bit_manipulation,3,101,22,8.05310320854187
base,bit_manipulation,3,113,27,12.609065055847168
base,bit_manipulation,3,42,20,8.940584614872932
base,bit_manipulation,3,64,92,37.97506280243397
base,bit_manipulation,3,100,45,16.79727354645729
base,bit_manipulation,3,123,12,7.064825505018234
base,bit_manipulation,3,103,12,2.513207048177719
base,bit_manipulation,3,38,65,23.911047339439392
base,bit_manipulation,3,126,9,4.455901712179184
base,bit_manipulation,3,30,47,17.508365616202354
base,bit_manipulation,3,35,36,12.817312389612198
base,bit_manipulation,3,67,34,12.459557488560677
base,bit_manipulation,3,93,14,5.794291824102402
base,bit_manipulation,3,105,12,3.700648531317711
base,bit_manipulation,3,108,83,33.44565652310848
base,bit_manipulation,3,3,13,5.3058954775333405
base,bit_manipulation,3,72,16,6.050983771681786
base,bit_manipulation,3,122,59,25.440920442342758
base,bit_manipulation,3,2,18,7.260955214500427
base,bit_manipulation,3,13,5,1.232943907380104
base,bit_manipulation,3,118,101,39.53124991059303
base,bit_manipulation,3,102,21,7.36751589179039
base,bit_manipulation,3,12,20,7.160980015993118
base,bit_manipulation,3,31,52,20.05799399316311
base,bit_manipulation,3,41,45,16.186865895986557
base,bit_manipulation,3,94,18,5.814598366618156
base,bit_manipulation,3,96,36,9.31837309896946
base,bit_manipulation,3,23,44,15.987904101610184
base,bit_manipulation,3,32,24,8.26734408736229
base,bit_manipulation,3,85,75,26.773052379488945
base,bit_manipulation,3,86,43,20.566601276397705
base,bit_manipulation,3,25,18,5.702026128768921
base,bit_manipulation,3,8,20,8.248360738158226
base,bit_manipulation,3,77,4,2.3794749975204468
base,bit_manipulation,3,116,37,15.792575731873512
