variant,backend,input_tokens,requested_new_tokens,generated_tokens,elapsed_seconds,generated_tokens_per_second,peak_allocated_gib,status
base,transformers_greedy_no_cache,262,16,16,4.730773892999878,3.3821104880271675,61.952492237091064,ok
base,transformers_greedy_no_cache,262,64,64,17.920676179999646,3.5712938148744153,61.98789310455322,ok
