variant,layer,expert,count,weight_sum,family_coverage,total_families,balanced_routing_share,balanced_weight_share,rank_in_layer,up_proj_module,down_proj_module
base,47,1,734,249.40919889509678,6,6,0.037188137689949066,0.030314815049405728,5,backbone.layers.47.mixer.experts.1.up_proj,backbone.layers.47.mixer.experts.1.down_proj
base,47,12,567,364.4471368342638,6,6,0.031711028015473444,0.04974507364405079,6,backbone.layers.47.mixer.experts.12.up_proj,backbone.layers.47.mixer.experts.12.down_proj
base,47,53,573,230.61026461422443,6,6,0.02717502147566674,0.02498654327172945,7,backbone.layers.47.mixer.experts.53.up_proj,backbone.layers.47.mixer.experts.53.down_proj
base,47,24,507,260.4761333167553,6,6,0.02607378161375576,0.032632970341905945,8,backbone.layers.47.mixer.experts.24.up_proj,backbone.layers.47.mixer.experts.24.down_proj
base,8,11,1826,829.5393584817648,6,6,0.09712075246484084,0.10825329285000354,1,backbone.layers.8.mixer.experts.11.up_proj,backbone.layers.8.mixer.experts.11.down_proj
base,8,69,1095,543.6390616595745,6,6,0.06142471915728201,0.07317225267319388,2,backbone.layers.8.mixer.experts.69.up_proj,backbone.layers.8.mixer.experts.69.down_proj
base,8,61,749,305.8188303858042,6,6,0.03677195472565872,0.035504807851102105,3,backbone.layers.8.mixer.experts.61.up_proj,backbone.layers.8.mixer.experts.61.down_proj
base,8,101,590,236.08622682094574,6,6,0.03332093322047529,0.03172128351680507,4,backbone.layers.8.mixer.experts.101.up_proj,backbone.layers.8.mixer.experts.101.down_proj
base,8,10,513,251.05042803287506,6,6,0.03121326844868301,0.0365309170998684,5,backbone.layers.8.mixer.experts.10.up_proj,backbone.layers.8.mixer.experts.10.down_proj
base,8,77,591,209.83507433533669,6,6,0.029471636696638246,0.024882206556280408,6,backbone.layers.8.mixer.experts.77.up_proj,backbone.layers.8.mixer.experts.77.down_proj
base,8,90,597,230.4244535714388,6,6,0.028417524057525075,0.026298819393841117,7,backbone.layers.8.mixer.experts.90.up_proj,backbone.layers.8.mixer.experts.90.down_proj
base,8,117,556,279.45536282658577,6,6,0.027814855135475824,0.03319535975684732,8,backbone.layers.8.mixer.experts.117.up_proj,backbone.layers.8.mixer.experts.117.down_proj
base,27,26,2808,1366.4281137883663,6,6,0.14093270701128477,0.1653449221491269,1,backbone.layers.27.mixer.experts.26.up_proj,backbone.layers.27.mixer.experts.26.down_proj
base,27,33,2002,880.0584573596716,6,6,0.10076847782782758,0.10901972262416432,2,backbone.layers.27.mixer.experts.33.up_proj,backbone.layers.27.mixer.experts.33.down_proj
base,27,90,1070,467.0522826164961,6,6,0.05994245347971333,0.06210989878235435,3,backbone.layers.27.mixer.experts.90.up_proj,backbone.layers.27.mixer.experts.90.down_proj
base,27,0,1277,643.8354076445103,6,6,0.05741763491521244,0.06805871996202875,4,backbone.layers.27.mixer.experts.0.up_proj,backbone.layers.27.mixer.experts.0.down_proj
base,27,102,634,263.6028204858303,6,6,0.0323991639081737,0.03199913903865946,5,backbone.layers.27.mixer.experts.102.up_proj,backbone.layers.27.mixer.experts.102.down_proj
base,27,21,787,316.7056525796652,6,6,0.03230370201529608,0.03099893792692091,6,backbone.layers.27.mixer.experts.21.up_proj,backbone.layers.27.mixer.experts.21.down_proj
base,27,13,539,289.2245308160782,6,6,0.027230633493844685,0.03670535035708217,7,backbone.layers.27.mixer.experts.13.up_proj,backbone.layers.27.mixer.experts.13.down_proj
base,27,2,415,149.36095342040062,6,6,0.024291219349105872,0.020976644787734772,8,backbone.layers.27.mixer.experts.2.up_proj,backbone.layers.27.mixer.experts.2.down_proj
base,51,36,1673,743.5538486540318,6,6,0.09075478592575044,0.09386678901215445,1,backbone.layers.51.mixer.experts.36.up_proj,backbone.layers.51.mixer.experts.36.down_proj
base,51,9,1098,447.328159336932,6,6,0.05297358037654071,0.05162618478506557,2,backbone.layers.51.mixer.experts.9.up_proj,backbone.layers.51.mixer.experts.9.down_proj
base,51,55,706,322.66829515248537,6,6,0.04351279758781945,0.04801993842963004,3,backbone.layers.51.mixer.experts.55.up_proj,backbone.layers.51.mixer.experts.55.down_proj
base,51,85,500,289.9332919418812,6,6,0.029189348869606196,0.042322098352790605,4,backbone.layers.51.mixer.experts.85.up_proj,backbone.layers.51.mixer.experts.85.down_proj
base,51,35,543,252.0880687981844,6,6,0.025767808148460514,0.029067757681691925,5,backbone.layers.51.mixer.experts.35.up_proj,backbone.layers.51.mixer.experts.35.down_proj
base,51,120,398,195.76606822013855,6,6,0.020477491777552394,0.02452468546231328,6,backbone.layers.51.mixer.experts.120.up_proj,backbone.layers.51.mixer.experts.120.down_proj
base,51,57,589,312.03027307987213,6,6,0.02026163533226933,0.025654898933155,7,backbone.layers.51.mixer.experts.57.up_proj,backbone.layers.51.mixer.experts.57.down_proj
base,51,92,373,88.47312390431762,6,6,0.018266944455053585,0.010444238573829702,8,backbone.layers.51.mixer.experts.92.up_proj,backbone.layers.51.mixer.experts.92.down_proj
base,22,55,1546,921.6523702591658,6,6,0.07243890978287433,0.10106570162119843,1,backbone.layers.22.mixer.experts.55.up_proj,backbone.layers.22.mixer.experts.55.down_proj
base,22,49,934,383.92862816154957,6,6,0.051202768758959794,0.05052827590236717,2,backbone.layers.22.mixer.experts.49.up_proj,backbone.layers.22.mixer.experts.49.down_proj
base,22,94,1032,549.4763387441635,6,6,0.04739788749146771,0.06173195047812483,3,backbone.layers.22.mixer.experts.94.up_proj,backbone.layers.22.mixer.experts.94.down_proj
base,22,9,866,419.52916184067726,6,6,0.038964646451395454,0.046469829637505136,4,backbone.layers.22.mixer.experts.9.up_proj,backbone.layers.22.mixer.experts.9.down_proj
base,22,101,532,208.87946969270706,6,6,0.029861553792762403,0.028099619468098167,5,backbone.layers.22.mixer.experts.101.up_proj,backbone.layers.22.mixer.experts.101.down_proj
base,22,43,505,199.67070274055004,6,6,0.028204248649228176,0.02734180480580682,6,backbone.layers.22.mixer.experts.43.up_proj,backbone.layers.22.mixer.experts.43.down_proj
base,22,50,514,194.04276165366173,6,6,0.025402750212147558,0.02311709159388304,7,backbone.layers.22.mixer.experts.50.up_proj,backbone.layers.22.mixer.experts.50.down_proj
base,22,2,405,113.64616400375962,6,6,0.021690430656677424,0.014385155519823195,8,backbone.layers.22.mixer.experts.2.up_proj,backbone.layers.22.mixer.experts.2.down_proj
base,34,4,1970,1067.6778926998377,6,6,0.10108021202014014,0.1314427046968706,1,backbone.layers.34.mixer.experts.4.up_proj,backbone.layers.34.mixer.experts.4.down_proj
base,34,25,1380,588.0462315035984,6,6,0.06500967857770856,0.06627925704104731,2,backbone.layers.34.mixer.experts.25.up_proj,backbone.layers.34.mixer.experts.25.down_proj
base,34,50,925,347.3250465840101,6,6,0.05426635212296863,0.04973746793681122,3,backbone.layers.34.mixer.experts.50.up_proj,backbone.layers.34.mixer.experts.50.down_proj
base,34,78,805,82.56678418535739,6,6,0.04234093765250727,0.010711479337633754,4,backbone.layers.34.mixer.experts.78.up_proj,backbone.layers.34.mixer.experts.78.down_proj
