variant,layer,expert,count,weight_sum,family_coverage,total_families,balanced_routing_share,balanced_weight_share,rank_in_layer,up_proj_module,down_proj_module
base,24,123,2592,1259.045086875558,6,6,0.1347295271137853,0.1608773109136076,1,backbone.layers.24.mixer.experts.123.up_proj,backbone.layers.24.mixer.experts.123.down_proj
base,24,20,1974,882.5624719709158,6,6,0.09703837731735111,0.10227713451916048,2,backbone.layers.24.mixer.experts.20.up_proj,backbone.layers.24.mixer.experts.20.down_proj
base,24,87,1931,1116.229005932808,6,6,0.09467385968374283,0.12878924827251292,3,backbone.layers.24.mixer.experts.87.up_proj,backbone.layers.24.mixer.experts.87.down_proj
base,24,54,1625,760.4855412393808,6,6,0.09013334776186169,0.10222979044051779,4,backbone.layers.24.mixer.experts.54.up_proj,backbone.layers.24.mixer.experts.54.down_proj
base,24,29,843,296.9317868798971,6,6,0.03725670763637713,0.030869685558960292,5,backbone.layers.24.mixer.experts.29.up_proj,backbone.layers.24.mixer.experts.29.down_proj
base,24,3,425,214.39206701517105,6,6,0.024910246805242273,0.029902886278894883,6,backbone.layers.24.mixer.experts.3.up_proj,backbone.layers.24.mixer.experts.3.down_proj
base,24,103,390,137.33611822128296,6,6,0.021075080801958544,0.01752193976706611,7,backbone.layers.24.mixer.experts.103.up_proj,backbone.layers.24.mixer.experts.103.down_proj
base,24,17,432,183.28870902955532,6,6,0.02078490951484465,0.020925545674287928,8,backbone.layers.24.mixer.experts.17.up_proj,backbone.layers.24.mixer.experts.17.down_proj
base,31,67,1638,680.7612130194902,6,6,0.08776075094065139,0.08818374171390236,1,backbone.layers.31.mixer.experts.67.up_proj,backbone.layers.31.mixer.experts.67.down_proj
base,31,75,1503,872.3861596435308,6,6,0.07554394790599132,0.10179201790358194,2,backbone.layers.31.mixer.experts.75.up_proj,backbone.layers.31.mixer.experts.75.down_proj
base,31,47,775,311.0884181559086,6,6,0.03773943329872195,0.03620244384188944,3,backbone.layers.31.mixer.experts.47.up_proj,backbone.layers.31.mixer.experts.47.down_proj
base,31,32,653,258.2459536008537,6,6,0.0372232098433341,0.035009252104130736,4,backbone.layers.31.mixer.experts.32.up_proj,backbone.layers.31.mixer.experts.32.down_proj
base,31,66,590,207.50428493320942,6,6,0.028009818525659858,0.02357854150479534,5,backbone.layers.31.mixer.experts.66.up_proj,backbone.layers.31.mixer.experts.66.down_proj
base,31,1,530,288.63438902795315,6,6,0.025766682642896062,0.03309446357762695,6,backbone.layers.31.mixer.experts.1.up_proj,backbone.layers.31.mixer.experts.1.down_proj
base,31,96,501,174.75386462174356,6,6,0.024795991846861907,0.02043784021277004,7,backbone.layers.31.mixer.experts.96.up_proj,backbone.layers.31.mixer.experts.96.down_proj
base,31,18,451,181.70328119397163,6,6,0.02283368589994323,0.022881125429716948,8,backbone.layers.31.mixer.experts.18.up_proj,backbone.layers.31.mixer.experts.18.down_proj
base,15,17,1306,603.2773256897926,6,6,0.08277624396627661,0.09594699407261899,1,backbone.layers.15.mixer.experts.17.up_proj,backbone.layers.15.mixer.experts.17.down_proj
base,15,63,1403,713.1060990542173,6,6,0.07720682779778332,0.09423903630065068,2,backbone.layers.15.mixer.experts.63.up_proj,backbone.layers.15.mixer.experts.63.down_proj
base,15,89,1312,611.7646132558584,6,6,0.06683715298400965,0.07530437995867649,3,backbone.layers.15.mixer.experts.89.up_proj,backbone.layers.15.mixer.experts.89.down_proj
base,15,82,971,460.53363443911076,6,6,0.05320212331115435,0.06078361381592021,4,backbone.layers.15.mixer.experts.82.up_proj,backbone.layers.15.mixer.experts.82.down_proj
base,15,26,1054,401.75400418043137,6,6,0.052854621139300124,0.04779120354976058,5,backbone.layers.15.mixer.experts.26.up_proj,backbone.layers.15.mixer.experts.26.down_proj
base,15,125,655,237.74285240471363,6,6,0.040617442397834665,0.035711015252246264,6,backbone.layers.15.mixer.experts.125.up_proj,backbone.layers.15.mixer.experts.125.down_proj
base,15,113,940,418.279889523983,6,6,0.040173634286769275,0.041233880222674095,7,backbone.layers.15.mixer.experts.113.up_proj,backbone.layers.15.mixer.experts.113.down_proj
base,15,69,537,213.14783769845963,6,6,0.031966956598804865,0.03009896835765974,8,backbone.layers.15.mixer.experts.69.up_proj,backbone.layers.15.mixer.experts.69.down_proj
