variant,profile_mode,family,row_id,tokens,elapsed_ms,peak_allocated_gib
base,layer_timing,bit_manipulation,63217d23-loo,262,282.90667300007044,61.91775703430176
base,layer_timing,equation_transform,7a9711b1-loo,79,263.8629629996103,61.7830491065979
base,layer_timing,gravity_formula,59148e34-loo,149,277.93157299993254,61.834425926208496
base,layer_timing,numeral_system,21c09ced,74,262.63278400028867,61.779117584228516
base,layer_timing,text_decryption,a2bdb410-loo,117,270.67656300005183,61.81082725524902
base,layer_timing,unit_conversion,90ae7158,124,270.9916140001951,61.81598901748657
