agent,games,completed,errors,opponent_errors,incomplete_games,wins,ties,losses,points,points_rate,mean_reward,mean_opponent_reward,mean_margin,median_margin,p10_margin,worst_margin,mean_reward_seat0,mean_reward_seat1,rank
v6,2,2,0,0,0,2,0,0,2.0,1.0,55015.0,45780.0,9235.0,9235.0,9235.0,9235.0,55015.0,55015.0,1
v5,2,2,0,0,0,0,0,2,0.0,0.0,45780.0,55015.0,-9235.0,-9235.0,-9235.0,-9235.0,45780.0,45780.0,2
